movie,sentence,score
아바타: 물의 길,재밌게봤다 음..영상미는  좋았다,10
영웅,"한편의 뮤지컬보는 느낌으로 영화가 시작이 되었고,내용도 잘 만들어져서 감동적으로 보았습니다. 연기자분들도 심취해서 영화를 만든게 눈에 보였습니다. 영화보는 내내 중간중간에도 눈물이 나와 눈물 다씪기 바빴네요. 감동적입니다",10
아바타: 물의 길,딱 한 줄로 정리하자면 아바타가 아바타했다 ,10
올빼미,진짜... 연기 믿고 보세요 연기가 미쳤어요,10
영웅,스토리는 대부분 사람들이 아는내용이니 뻔한 영화라고 생각하겠지만 막상 보면 노래부분에서나 연기부분에서 정말 마음속으로 관람하길 잘했다를 외치는 영화.. 배우분들의 쩌는 연기+노래가 더해지니 웅장할 수 밖에 없는 영화인것 같아요.. 노래가 기대 이상보다 웅장 했어요 ,10
영웅,아쉬운 부분도 있지만 한국인이라면~ 봐야죠! 창작뮤지컬을 영화로 만들어주셔서 감사합니다 감독님! 넘버들 넘 좋습니다! ,10
영웅,김고은 너무 노래 잘해요.ㅠㅠ감동...,10
아바타: 물의 길,이거 3시간 길다 지루하다 입맛대로 입놀린 사람들 나랑 다른 영화본거임?퀄리티는 무슨 10년뒤 영화 보는듯했고연기? 애들 연기하는거보고 내가 뭉클해졌음 네이티리 우는거보고 ㅈㄴ 펑펑울었다 ,10
영웅,안중근 그가 있었기에 지금의 우리나라는 존재하는 것입니다. 잊지말아야 합니다.,10
영웅,스토리와 전달하려는 감정은 정말 좋았음 근데 장르가 우리나라에 익숙하지 않은 뮤지컬 영화라 그런지 배우분들의 연기 도중에 노래로 이어지는 부분에서 미숙한 부분이 많았음,10
아바타: 물의 길,너무길다고 하는사람들은 그냥 대충 시간 때우거나 관심없는사람들이 유명해지니까 본거.. ,10
리틀 포레스트,김태리의 인생을 써내려가는 것에서모티베이트 ㅆㄱㄴ,10
아바타: 물의 길,영상미가 진짜 미쳤습니다... 스토리 구성에도 놀라고 진짜 이건... 꼭 보세요 돈과 시간이 아깝지 않습니다!!!,10
라스트 크리스마스,캐릭터가 싹다 비호감임캐릭터 설정 왜저렇게 했는지 보는 내내 빡침;민폐남녀,1
기예르모 델토로의 피노키오,기예르모 델토로가 만든 스톱모션 애니메이션을 넷플릭스 한정으로 공개하는게 너무 아깝다,9
신비아파트 극장판 차원도깨비와 7개의 세계,신비아파트시리즈중 젤 스토리가 괜찮은듯요사실 어른이봐도 잼났네요;ㅋㅋ,10
올빼미,"오늘 보고 왔는데 !!계속 생각나는 영!화!는 또 오랜만입니당,, 너무 재밌게 봤어요",10
아바타: 물의 길,재밌어서 계속 보고싶다,10
아바타: 물의 길,"내용보통, 영상미 압도",10
아바타: 물의 길,10점 주려고 왔습니다,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",마지막쯤에 여주 친구가 울때 음악없이 우는 소리만 나올때 너무 슬프고 몰입도 올라갔음,9
영웅,우리 나라 사람이면 꼭 봐야할 영화....,10
아메리칸 패스토럴,정치적 신념으로 인해 가족이 분열되는 것은 안타까운 일이다.. 이념보다 중요한 것은 서로의 사랑인데.. 영화는 전반적으로 좀 질린편이다..ㅋ,8
아바타: 물의 길,영상과 기술력은 10점스토리/개연성은 4점,7
영웅,무슨말이필요 할까요,10
아바타: 물의 길,믿고 보는 아바타 입니다,10
테이큰,정말 지루하지않고 끝까지 긴장감을 놓을수없었던 영화 시간가는줄도 모르고 보았네요,10
아바타: 물의 길,전쟁씬 너무 아쉬웠다 ㄹㅇ 진짜 어릴때 아바타1 전쟁씬 보고 겁나 좋아했는데 이번편은 좀 아쉬웠음 그리고 둘째 아들 말좀 듣어라!!!,3
아바타: 물의 길,언제 3시간 지난거누....,10
영웅,관람중에 가슴이 뭉클하였습니다.,10
영웅,가슴이 먹먹하고  감사한 영화였습니다또 보고싶어요,10
두 교황,"재미 있을 만한 게 별로 없었던 것 같은데, 흐뭇하게 재미있음. 이유는 설명하기 어려움. ",8
올빼미,연기에 할 말을 잃었다. 간만에 몰입하고 집중하게 만드는 시간이었다.,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",으아 진짜ㅜㅜㅜ너무 재밌고요 로맨스라해서 별로 안슬프겠지 하고 봤는데 슬퍼서 눈물이 찔끔...토루가 죽는거 빌드업 쌓는거보고 슬펐구요...마오리??였나 여주한테 여주친구가 진짜로 여주가 쓴 일기 가져다주는거보고 또한번 슬펐구요...토루 누나가 직접 토루이름 없애는거보고 다시 슬펐습니다...근데 제 원픽장면은 불꽃놀이에서 3번째약속을 깨도 되냐고 물어본 장면이 원픽...,10
아바타: 물의 길,많은 메세지들이 담겨져 있는데 그런것들이 뻔하지않고 마음에 울림을 주어서 너무 재밌게 잘 봤어요! 고퀄리티 연출효과는 말할 것도 없구요!! 세시간이 삼십분같이 느껴지는 마법,10
에브리씽 에브리웨어 올 앳 원스,글쎄요. 생각보다 의외로 내내 난해하고 병맛이고 조잡하기만 했던 영화였습니다. 마지막은 억지 감동. 굉장히 정신없어서 좇아가느라 에너지 엄청 소모되는 영화.,6
탐정: 리턴즈,ㅋㅋㅋ 어린애들영화냐? 아니면 감독이 어린이?,2
아바타: 물의 길,2D로 봤는데 너무 재밌게 잘 봤어요…ㅜㅜ아직더 여운이 있네요.,10
영웅,우리나라에서도 이렇게 완성도 높은 뮤지컬 영화가 나오다니 감동이에요 ,10
올빼미,"극에서 가장 중요한 사건이 벌어지는 정도의 순간 까지는 긴장감도 유지되고 괜찮았는데, 그 이후부터는 맥빠지고 웃기지도 않는 서사가 연속됨. 비판하는척 즐길거리로 썼다는 말이 딱 어울리는 정도.",6
영웅,배우들의 연기와 노래가 너무 좋았다. 중간에 사람을 울컥하게 만드는 포인트가 있어서 몇 번을 울었는지 모르겠다. 좋은 뮤지컬 영화를 만들어준 감독에게 감사하다.,10
영웅,정말 재미있게 보고나왔습니다 ,10
영웅,김고은님 노래너무좋고 .뮤지컬보단 감동이 덜하지만..  너무 좋앗습니다 . 초등아이들도 너무 감동적으로 잘봣습니다.,10
올빼미,"류준열, 유해진 연기 대박!!!",9
영웅,"마지막 빼고는 기억에 남지 않는다. 완전 재미없지만 않지만, 노래 나올때는 눈 감고 좀 잤다. 적어도 싱크는 좀 맞추지... 좀 아수움이 남는다.",8
영웅,이런영화는.. 봐야합니다..,10
올빼미,오랜만에 잘빠진영화 보는느낌,10
영웅,국짐당들 필수로 관람했으면 좋겠네요.이런영화가  천만가야  마땅합니다.,10
RRR: 라이즈 로어 리볼트,이런 영화 사랑합니다... 영화적 허용이 있는 액션이지만 스토리 구성도 좋고 연기도 좋아요 라주 잘생김,10
영웅,무슨 말이 더 필요한지 모를 영화국내에서 생소한 뮤지컬영화라 조금은 뚝딱거리지만 의미 없는 불편함,10
아바타: 물의 길,너무 재밌고 이거 재미없다는 사람 사이코패스임,10
아바타: 물의 길,사실상 후반 3~40분 가량을 제외한 시간은 수중 생태 다큐에 불과,4
아바타: 물의 길,다소 스토리는 아쉽지만 눈뽕은 제대로네요. 경이로워요 새로운 행성을 보고온 느낌,10
영웅,그냥 잘됬으면 좋겠어요 ,10
아바타: 물의 길,I see you James Cameron,10
아바타: 물의 길,세시간내내 몰입해서 봤어요!,10
아바타: 물의 길,크리스마스 날 황홀경을 선사해주셔서 감사해요.,10
영웅,진짜 보면서 울어서요 너무 재미고 배우님들 연기 정말 대단해요 ,10
아바타: 물의 길,소재를 뛰어 넘기에는 평범한 내용 그리고 상향평준화된 상황에 체감하기 힘든 영상미 그리고 너무나도 길었던 3시간은 생각보다 지루했다. ,6
어바웃 리키,현대 미국사회와 가정의 문제를 보여주다가 훈훈하게 감동적으로 끝나는 괜찮은 영화. 메릴 스트립의 연기와 노래솜씨가 좋다.,8
아바타: 물의 길,제임스 카메론감독이 일부러 이 시기를 골라서 개봉을 하지 않았을까 하는 생각이 들었다. 많은 사람들이 더더욱 영화를 통해 전쟁과 무력이 얼마나 불필요한 것임을 혹은 무서운 것이라는 것을 알기를 바란다.,9
아바타: 물의 길,아 진짜 너무너무너무 기대하고 갔는데 고구마만 500만개 먹은 기분입니다근데 영상미는 진짜 볼만합니다뭔가 너무 어거지고 암튼 좀 실망입니다,6
아바타: 물의 길,1점도 아까운 시즌1의 몰락,1
영웅,4식구 뮤지컬로 만든 영화지만 너무 감동적이고 배우들 연기력 노래 다 갖춰진 크리스마스때 뜻깊은 하루가 되었습니다…꼭 보세요…,10
강철비2: 정상회담,1점도 아깝다 이게 영화냐 ?,1
아바타: 물의 길,스릴도없구  밋밋한영화 스토리도 없는  극장간거 후회합니다  ,2
영웅,역사를 잊은 민족에겐 미래란 없습니다. 정말로요.,10
폴링 포 크리스마스,스토리도 분위기도 만점,8
영웅,꼭 보세요. 감동과 눈물에서 헤어나올 수가 없네요. 영화 두번 보러갈꺼구요. 뮤지컬도 보러가려구요.,10
영웅,근래에 본 영화중 젤 재밌게 봤습니다~,10
나이브스 아웃: 글래스 어니언,"1편을 너무 재밌게 봐서 2편도 기대했는데 초반에는 살짝 지루했지만 역시 스토리와 연기, 연출 모두 훌륭한 영화였어요! 1편의 반전은 아예 예상 못한 반전이었다면 2편은 어느 정도 예상은 가능했지만 초반의 지루함을 아예 반전시키는 인물 전환이 좋았어요! 2인을 연기한 여주의 연기가 좋았읍니다",8
영웅,연기도대박. 몰입도대박 울면서 보았습니다. 조국을 갖게해주셔서 감사합니다잊지않겠습니다,10
아바타: 물의 길,제발 흥행해서 4편5편도 제작비 이번처럼 왕창 들일수있는 영화가되길ㅠㅠ ,10
너의 이름은.,"우리는 모두 누군가를 찾고 있다. 격한 감동은 아니지만, 길게 여운이 남는 애니메이션. 말로 설명할 수 없는 정적임. 영상미도 너무 아름답다.",10
더 게임,외부 적국과의 전쟁이 아닌 서로 견제하는 스파이들의 내부 적과의 진흙탕 싸움. 사는게 참으로 피곤했을 듯. 다중 반전은 꽤 흥미로웠지만 가볍게 만든 엔딩은 아쉬움. 혹시 원작 소설이 있다면 훨씬 스릴 있고 짜임새 있을 듯,3
아바타: 물의 길,자연보호와 종교신앙적인것이 담긴 영화같네요,10
아바타: 물의 길,돈 아까워서 안 나갔는데 3시간 동안 고문이었다. 그리고 여자 아바타 너무 개 못생겨서 짜증이 났다. 우는 소리도 짜증 나고,1
마녀(魔女) Part2. The Other One,시간이 아깝다;;;  갑자기 시간을 초월하고 이정도면 아이언맨이랑 싸워야하는 급 아니냐??  1편이랑 무력이 이어지지가 않냐,2
아바타: 물의 길,안바도 뻔할듯 평점 높은 쳐준것들은 나만 보고 손해볼수 없다 느낌 영상미는 좋으나 별내용없고 그냥 가족용 초딩영화 에벤져스2 겨울왕국2  느낌,6
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",슬퍼요 애인이랑 손 잡고 보면 좋은 영화,10
아바타: 물의 길,뇌빼고 눈으로만 볼거면 추천 스토리는 진짜 노잼임,4
영웅,뮤지컬을 따라가진 못하지만 이만원도 안되는 돈으로 귀 호강하고 옴. 이렇게 지킨 나라인데 ㅜㅜ  ,10
아바타: 물의 길,평을 못내리겠어요 너무 완벽합니다나만 슬픈가요?ㅜㅜ,10
아바타: 물의 길,영화에 담긴 메세지가 확실하고 영상미가 매우 뛰어난 작품,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",영화 분위기부터 스토리 대사 모든게 완벽합니다. 영화를 두 번 보면서 친구들을 많이 데려갔는데 거의 다 울었습니다. 여운이 남고 남주 여주 대사가 너무 이뻐서 연애감정이 다시 불타오르는 느낌입니다. ,10
영웅,정성화 배우님 최고입니다 영화 보는 시간동안 시간가는줄 모르고 푹 빠졌습니다너무 멋있으시고 감동받았습니다,10
영웅,아이들한테도 너무 좋은 영화에요.아들이초6인데 보면서 훌쩍거리면서 보내요ㅎㅎ감동적이랍니다~^^,10
영웅,영화관에서 사람들 훌쩍거리는 소리가 들릴정도로 슬펐던 영화입니다ㅜㅜㅜ애국심폭발하는 영화 강추요ㅜㅜㅜㅜ,10
아바타: 물의 길,"이 영화를 보기 위해 태어났다 영화보다 심장마비로 돌아가신분 충분히 이해 됨 ㆍ어비스ㆍ터미네이터1,2 ㆍ에일리언2, 타이타닉 그리고 아바타1.2 제임스 카메론이라는 거장과 같은시기를 살았음에 인생 한점 후회가 없음",10
영웅,정성화 안중근 그 자체인듯,10
말모이,일제 식민지때 우리 조상들이 민족의 혼이 될수 있는 우리말을 지키기 위해 헌신하고 희생하신것을 잘 느낄수 있는 감동영화였습니다. 눈물 나게 잘 봤습니다~,10
왕의 남자,해석을 보는 것을 추천!!,10
아바타: 물의 길,"&amp;#34;아바타 물의 길&amp;#34;은 전작에서 보았듯이 CG는 두말할 것도 없이 완벽하다. 덕분에 영화를 관람하는 내내 두 눈이 즐거웠다. 제임스 카메론 감독의 완벽주의 성향이 그대로 투영된 영화. 우주선의 점화부터 물속에서 동작하는 동물들과 기계의 움직임 모두 유기적이고 역동적으로 움직여 영화를 관람하는 입장에서 큰 몰입을 받았다. 하지만 이 영화를 평가한 몇몇의 사람들이 말하길 &amp;#34;CG로 범벅된 진부한 스토리&amp;#34;라고 한다. 그러나 나는 이들이 말하는 진부한 스토리를 좋아한다. 큰 반전은 없지만 보다 담백하게, 보다 현실적이게 스토리를 구성한다. 그리고 그런 스토리에 제임스 카메론 감독만의 서사를 적절히 투영해 말 그대로의 멋진 영화로 탄생했다. &amp;#34;아바타&amp;#34;라는 영화가 나에게 있어 그런 멋진 영화다.",10
아바타: 물의 길,디테일한 표정연기 좋았다. 한국이나 미국이나 부모 마음은 같다.   환경보호 해야 아바타 같은 세상이 오지않는다,10
영웅,감상은 줄이고 깊이를 늘려야 할 것을,5
영웅,연출 영상 연기 노래 뭐 하나 빠지는 거 없이 좋았습니다역사가 스포일러라 가슴이 먹먹했네요,10
아바타: 물의 길,기대이상까진 아니지만 보는동안 그래도 눈은 즐거웠습니다 과하지도 않고 적절한 3d로 크게 어지럽지도 않았어요,9
영웅,가슴깊이 울어본적이없엇던 영화 챙피해서 소리내어 울지못한게 한이서린다,10
아바타: 물의 길,아름답고 경이롭습니다,10
마녀(魔女) Part2. The Other One,와... 이국적인 한국 영화고 감탄이 절로나오네요개인적으로 완성도가 높은 영화네요빨리 part 3가 나왔으면 바램입니다!!!,10
아바타: 물의 길,3시간이라 물빼러 갈시간은 줘야할듯,8
영웅,와 진짜 영화 잘 안보는데 이건 울면서 끝까지 봤어요 !! 배우님들 연기랑 노래 실력 짱짱우리 나라 역사 잊지 않겠습니다.,10
아바타: 물의 길,진짜 말이 안나옴 최고!! ,10
아바타: 물의 길,안보면 후회하니까 꼭 보는걸 추천함,10
아바타: 물의 길,3시간 너무 긴 듯,7
영웅,"나문희님께서 애끓는 마음을 너무 절절히 표현하심 ㅠㅠ김고은, 정성화 노래는 장면마다 놀라운 감동",10
영웅,뮤지컬보다 더 와닿았던 감정과 전율은이루말할수없더라구요..!,10
아바타: 물의 길,"제임스 카메론 감독이 이제 은퇴해야 할 이유를 알려주는 영화. 아바타1 때도.. 중간에 지겨워서 조는 사람들 간간히 보였는데,아바타2는 진짜 중간에 안잔 내가 대견 스러웠다.영화가 3시간이라서 지겨운게 아니라, 너무 뻔한 스토리가 중간에 잠을 불러온다.마틴 스코세이지 감독의 아이리시맨 이라는 3시간 짜리 영화 볼때는시간이 너무 빨리 가서 상당히 아쉬웠다. 이게 바로 스토리의 힘이다.역시 나이는 못속인다. 제임스카메론이 이제 은퇴해야 할때가 온것이다.",7
올빼미,재밌어여 굉장히 흥미롭다 이거야,10
아바타: 물의 길,정말 재밌고 신비 한다 굿,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",보고 울었다 슈바ㅜㅜㅜㅜ,10
영웅,"진짜 인생영화 목록에 새로운 작품이 등록된것같아요. 역사를 다룬 주제의 영화가 다소 지겨울거라는 저의 편견이 그동안 없지않아 있었는데 이번 영화를 통해 그 편견 쓰레기통에 집어 던졌습니다. 중간중간 개그요소도 넣어주면서, 우리 나라의 아픈 역사에 대해 잘 해석된것같아 보면서 울고 웃고 했던것같아요. 더 많은 사람들이 이 영화를 보았으면 하는 심정입니다.",10
아바타: 물의 길,재밌었는데?스토리도 좋고 꼭보세욤,10
히트맨,어린이용 영화출연 배우들의 커리어만 깍아먹었다,2
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",정말 너무 감동적이고 정말 슬퍼요ㅠㅠㅠ 추천합니다,10
영웅,만점이 아니더라도 만점을 줘야할 영화,10
프라미싱 영 우먼,성폭력 복수극으로만 보지 말라... 남자인 내가 봐도 충분히 공감된다 다른 사건과 시선에서...,9
영웅,전체적으로 뮤지컬을 보는 듯해 너무 감동받았고 후손들을 위해 당신들의 엄청난 노력이 있었다는걸 다시 되새기게 되었습니다영화 보는 내내 눈물이 멈추지 않았어요,10
영웅,이 영화를 느낄 수 있다는 것은 한국인의 특권이다.,10
영웅,b급 + 억지 개그 + 억지 노래 + 명성황후 신격화안중근이란 소재는 s급 이지만 과정이 b급 너무 재미없음.,1
사자,엑소시즘 공포영환줄 알고 봤더니악마 때려잡는 슈퍼히어로 물....마지막엔 &amp;#34;두한아 일어나라&amp;#34; 엔딩까지...,4
늑대사냥,갑자기괴물이..흠..,4
영웅,김고은님의 노래 실력에 너무 감동받았어요. 유투브에 찾아서 계속 듣고 있네요^^,10
아바타: 물의 길,1편보다 못해요시나리오가 너무 허접..영상미가 아무리 뛰어나도 영화란 모름지기 감동이란게 있어야하는데..ㅠcg도 개인적으론 1편이 더 나음,6
영웅,영화관에서 보기 잘했다고 생각했습니다뮤지컬로만 접하던걸 영화로 만드니 더욱 풍성함,10
영웅,"뮤지컬 영웅에서는 멀어서 잘 보지 못한 섬세한 표현력을 볼수있었으며, 공간의 아쉬움이 영상으로 커버가 되어 감동이 열배가 되었습니다. 최근 본 영화중 가장 먹먹하고 최고였습니다. 정말 독립투사 분들의 순고한 희생에 맘 아프고 감사한 시간이었습니다. 시간을 허투로 쓰지않고 열심히 살아야겠다는 생각이 드네요. 감사합니다.",10
아바타: 물의 길,개재밌음 별 기대 안 하고 봤는데 울고 웃고 쌩쇼 다 하고 나옴 진짜 꼭 보셈,10
영웅,잊고 지냈던 역사를 눈물나게 보고 가슴에 담고... 한 분도 놓치지 않고 돌아오지 못한유해를 찾아야 하는 것은 후손들의 몫이겠죠? 영화와 뮤지컬을 한꺼번에!! 새로운 경험을 할 수 있게 해 주셔서 감사했습니다.감동있게 잘 봤습니다. ,10
나이브스 아웃: 글래스 어니언,크리스마스 영화로 이걸본게 수치스러울 정도로 재미없었다.,2
영웅,나문희 선생님! 울컥했어요ㅜㅜ,9
원피스 필름 레드,진짜 유치하고 내용전개 스토리가 넘 구림..,2
아바타: 물의 길,완벽한 영화우수한 그래픽과 감동과 다 가진 영화,10
영웅,진짜 감동의 눈물이 주루룩 흐르네요 ㅠㅠ 잊지 않겠습니다 독립투사님들,10
아바타: 물의 길,초반엔 뭐지 싶었는데 중반부로 갈때부터 웃기면 웃기고 슬프면 슬프고 긴장되면 긴장되는 영화고 장남이 죽을땐 정말 가슴아팠고 마블이 다 망해가는 마당에 거의 최고의 영화였음 3시간이였지만 길어봐야 1시간반정도 라고 생각된다,10
영웅,설명이 필요없는 영화! 올 겨울은 영웅입니다!! 감동 그리고 또 감동인 영화입니다. 좋은 영화만들어주셔서감사합니다!!!,10
영웅,정말 좋았습니다. 목이 자꾸 울컥하다가 결국 눈물이 솟구치는데 참을 수가 없었습니다. 집에 돌아와 감상평을 남기는 지금까지 목에 컬컬한 것이 남아 있네요. 감사합니다.,10
중앙역,1달러 편지를 주문하는 사람들의 얼굴과 표정에 글보다 더한 감흥이 담겨 있다 ?,7
오아시스,이딴 영화를 명작이라하는구나,1
영웅,평점 처음 남겨요. 뮤지컬영화 별로 안 좋아 했는데 영웅이라는 영화가 다 깨 줬습니다. 눈물 주룩주룩ㅜ 휴지 꼭 챙기세요. 정성화 배우님 감탄만 나옵니다. 노래 언제 부르시나 그것만 기다릴정도에요ㅎ 뮤지컬이었다면 엔딩하고 박수 계속 쳤을거에요~! ,10
데시벨,"개연성이 많이 부족하네용...,. ㅠㅠㅠㅠ근데 재미는 있어요 .. ",8
아바타: 물의 길,영상미나 CG 그래픽에 관련된 건~ 훌륭해요. 근데.. 스토리가 복수극인가요?,2
영웅,누구나 알고있는 스토리를 지루하지 않게 잘봤습니다. 뮤지컬 한편 영화가격으로 본거같아요,10
영웅,뮤지컬로도 두번 봤는데 뮤지컬과는 또 다른 감동과 울림이 있네요..  배우들이 연기를 너무 잘 하셔서 몰입감도 최고였습니다. 영화도 두번 세번 더 보고싶네요.,10
아바타: 물의 길,아이맥스 3d보았습니다.지루하다는 소리가많아서 걱정했는데솔직히 말하자면 엄청 박진감도 신기함도없음. 그냥 엄청나게 큰 아쿠아리움을 고화질로 보고온듯. 그만큼 cg이질감 1도없음. 실제로 나비족이있는거같음. 2d로보면 감동이 덜할듯하고 후회 돈아까움 1도없음. 좋은 추억거리가생겼네요,10
사랑할 땐 누구나 최악이 된다,여주인공의 감정선이 너무 공감되어서 …보는 내내 흡입력 있었어요. 현실적이고 지극히 적나라한 감정 표현이 오히려 와닿았어요. 나중에 다시 보고싶어질 것 같아요. 여주인공 처음 봤는데 연기가 너무 훌륭하네요. ,10
영웅,진짜 감동 그 자체임ㅠㅠ 꼭 봐야되는 영화,10
영웅,조국애에 대한 감동이 느껴졌다.,10
아바타: 물의 길,오래 기다린 보람.  실망시키지 않았다,10
아바타: 물의 길,영상미는 좋으나 스토리가 뛰어나다고 느끼지는 못하였음,8
영웅,예전 독립운동가 분들이 없었으면..우리는 일본이 되었을것...감동적입니다,10
아바타: 물의 길,영상미가 좋아요!!!!,10
사도,유아인이랑 송강호 연기력이 진짜 다 캐리했음. 시간없어서 미루다가 드디어 봤는데 정말 후회안했음. 또 보고 싶어요,10
아바타: 물의 길,개멋져요 정말…. 제임스 카메론 천재,10
에브리씽 에브리웨어 올 앳 원스,내가 선택한것이 최선이든 최악이든 결국 지금 나를 있게 만든 모든것,10
영웅,미쳤음 나문희할머니 덕에 눈물 펑펑 스토리도 너무 감동적이었어요 오랜만에 제대로된 영화 봤습니다 크리스마스에 뜻 깊은 선물 주셔서 감사해요,10
영웅,"역사왜곡이 난무 합니다.이토는 동아시아의 평화를 원했고, 동아시아가 하나가되어 서양 제국주의에 맞서려고 했습니다.이토가 죽고 오히려 일본 군부는 제국주의 야욕으로 똘똘 뭉쳤습니다.이토는 청일전쟁도 러일전쟁도 반대했던 사람 입니다. 왜곡된 역사는 후손들을 더욱 힘들게 할 뿐입니다. 제발 반일선동 멈춰주십시오... ",2
아바타: 물의 길,2D보고 너무 재밌어서 3D로도 관람했네요영상미도  아름답고 ~ 슬프고 감동적이여서 눈물도 났네요,8
영웅,어떡해 점수를매길수있을까.영화관람 까지는 좋은데..너무 아바타랑 관객수차이가 나서..씁쓸하네이런 기회라도한번이라도 봐줄수있지않나,10
영웅,역사를 잊은 민족에게 미랜 없다,10
영웅,정성화 연기 잘하시네요~~,6
앰뷸런스,지루하긴했지만 재미있었음,8
영웅,오늘 두번째 관람했는데 역시나 좋았습니다~,9
스크루지: 크리스마스 캐럴,"어릴 때 봤던 스크루지 영화는 노잼이었던 거 같은데, 원래 이런 내용이었나 싶을 정도로 즐겁게 봄. 돈에 미쳐사는 꼬장꼬장하지만 여전히 정정한 음기풀풀 영감쟁이를, 제 뜻과 무관하게 이리저리 굴리며 두렵게 하고 울리고 결국엔 정신머리 개조하는 게 왜이렇게 재밌는 거임; 심지어 그 영감이 어릴 땐 아픈 여동생 돌보는 오빠였고, 젊을 땐 햇살가족 딸내미랑 약혼도 했던 과거가 있다..? 이야, 스크루지 전통할배맛집이었구나 ",10
영웅,그 시대를 지내신 모든분들께 감사드립니다,10
불릿 트레인,왜이게 지금 평점인가요…,10
아바타: 물의 길,ㄹㅇ 너무 슬펐음보다 나도모르게 눈물이 주르륵 나오더라안본사람은 지루해도 꼭 보는걸 추천함메리크리스마스,10
영웅,노래 정말 감동이었요!,9
영웅,노래 정말 감동이었요!,9
아바타: 물의 길,"정말 너무 재밌었고, 영상미가 너무나 좋아 눈을 뗄 수 없었다. 스토리도 정말 감동적이고 다섯번 운거 같다. 최고의 영화. 이 영화만큼은 10점을 줘도 마땅하다 생각한다.",10
